CasteMembership,Intelligence,BrainMass,HoursWorked,AnnualIncome
4,137.39189,2852.0806,35,831.21167
5,128.25129,3171.9643,25,716.69837
5,126.62647,3132.5725,27,566.6007
5,109.10112,2741.3879,21,316.95241
5,145.0526,3083.2105,32,629.60753
4,108.1479,2608.3318,14,739.96386
4,123.4221,2822.6777,41,699.19967
3,85.389147,1990.2319,59,921.2308
5,111.96142,2573.9719,19,521.97752
5,157.67826,3605.4329,48,1111.3811
4,122.16213,2572.3811,62,972.59739
2,106.36347,1272.7387,45,789.1751
1,64.237177,515.0969,13,370.54278
4,81.213392,2511.0714,48,855.03251
2,98.671025,1492.8505,32,675.75205
1,67.875421,500,39,681.31753
4,118.24846,2267.0613,35,586.72613
1,42.28609,608.57481,5,378.84835
5,137.70241,3600.4679,57,848.4591
2,101.40512,2144.6571,38,678.58809
3,105.9231,2165.0604,16,440.76194
3,116.49574,2974.248,26,755.64947
4,104.08618,2142.4628,23,680.70825
5,140.33601,2913.8806,27,581.73532
1,85.979063,1504.7507,33,558.08689
5,124.25327,1948.1987,45,982.9164
5,139.15077,3349.2626,29,539.52891
2,101.04772,1762.4442,30,798.59742
2,70.680906,1733.8131,24,471.776
1,89.853173,1260.0097,48,911.20184
5,151.90436,3605.9296,28,703.37237
5,137.41037,3066.5747,63,1280.0829
5,113.39276,3100.0367,46,947.08079
1,34.777533,721.23933,13,367.71948
4,98.042958,1805.2299,37,926.30438
5,167.01334,3798.4886,21,674.00463
5,124.41346,3003.2606,43,849.45472
2,93.627064,1987.5018,8,469.70859
4,138.24551,2917.0886,15,534.09936
2,86.075276,987.92788,40,606.76614
5,131.27916,3757.32,50,897.53771
5,157.32206,3792.4792,49,1005.9764
4,115.60829,2276.9509,43,946.23086
2,78.435425,1370.7999,40,824.50982
4,98.919633,2222.9982,54,889.61376
1,81.128832,1634.1425,52,789.82581
5,139.49639,4303.6851,18,651.94569
5,160.95714,3360.9435,29,549.93057
1,62.907431,786.97687,30,591.03401
2,75.043528,1448.4805,26,677.44846
2,73.047088,1001.1652,56,840.55575
2,94.864721,1409.9007,7,316.40174
3,100.39524,1944.3705,37,837.06878
1,86.852762,1147.3658,26,548.92503
3,112.30656,2267.349,54,768.25383
5,131.49658,2692.5128,26,644.55648
4,101.75579,2164.1925,17,502.42773
4,114.34307,2330.3759,38,758.82871
2,111.7918,1210.5447,33,629.56779
1,110.69694,1717.6082,41,847.28894
4,103.42527,2264.4725,29,654.40591
2,55.192886,1504.2702,37,722.08642
1,55.78796,653.35926,11,503.48216
5,132.80981,3045.3167,34,827.9977
4,103.54408,1966.0489,19,479.24153
4,97.113254,2354.5133,41,572.43733
2,78.354489,1350.8719,45,627.79431
4,106.645,3238.6105,36,674.19704
4,130.47595,3251.5045,15,399.14872
5,121.2447,3066.1343,46,871.74698
5,142.47956,3502.1666,38,754.76833
1,54.157727,1009.1806,7,484.17858
1,75.382281,1374.5913,44,654.08613
1,68.419086,1569.5252,44,895.99116
4,88.095676,2408.3021,16,481.79442
1,58.48775,961.47608,20,635.096
3,122.76396,1300.6264,49,882.5666
5,131.68433,2794.9421,62,1036.5758
2,81.417009,934.72214,41,557.22726
5,129.9235,3079.8769,64,1097.954
4,96.669828,2445.9052,54,909.1967
5,120.70654,3071.7761,27,618.21164
4,108.88357,2548.0918,38,713.48599
5,93.745857,2746.1871,43,747.18831
2,84.312088,1505.7551,19,529.09436
1,50.817713,1312.2979,42,710.12717
5,108.07813,3035.3513,61,989.55174
4,80.291542,2002.7795,23,691.31923
1,100.58522,2043.5689,40,635.90635
5,118.70619,3157.7968,53,809.30633
4,107.64514,2299.9763,36,709.87998
3,106.69102,2215.0036,54,908.02078
1,84.019822,1226.9968,53,998.195
5,130.21039,2946.2594,28,595.78965
1,79.008813,1253.3369,28,609.11918
4,89.183463,2428.201,32,658.70913
5,142.7812,3458.2952,32,666.66171
5,134.80749,2813.2376,35,763.35692
3,36.789747,563.47634,15,346.12587
5,126.65276,3642.0903,58,926.92172
5,142.78749,3942.4479,18,570.5627
4,114.42155,2573.0322,37,839.9541
5,142.31708,3308.4751,60,1164.8889
5,155.33146,3442.494,20,612.66107
4,102.11816,2535.5169,41,924.41393
1,101.79553,1251.336,28,611.36073
5,122.60434,2643.0878,21,619.62793
4,95.165927,2062.2742,22,680.12714
4,102.21301,2040.0168,41,852.18277
2,83.18709,1956.0598,11,576.5997
5,151.82057,3215.4525,49,956.73362
3,71.879629,1244.0123,57,984.84069
1,45.180836,500,45,451.55257
2,98.152548,1550.9871,56,893.66328
5,118.07535,3322.597,29,639.03516
3,106.09235,2429.8534,32,671.48057
2,57.075592,1331.9065,17,415.63156
1,88.014237,786.17896,43,675.38608
1,66.548678,729.33531,14,352.79481
5,154.98826,3250.303,46,946.20297
5,105.0626,3058.6066,41,718.2442
5,97.500181,1721.5418,47,859.41794
4,78.669661,1317.1574,26,721.91099
5,146.73232,3694.9217,54,990.4461
1,80.926602,880.40003,48,868.09071
1,98.120993,1614.9845,15,603.56259
1,85.690271,1102.4404,10,291.93932
3,62.644044,1502.1524,59,854.4711
5,150.24455,4656.3428,33,726.46528
4,96.579707,2068.5604,22,760.11657
2,100.74056,1746.0419,30,624.64174
3,99.531274,2542.9782,53,919.94143
1,69.783542,811.22347,29,601.49322
5,117.51716,2967.3239,49,1025.6627
2,43.800323,1270.9217,43,765.98894
3,108.76116,1966.6207,13,414.33789
4,134.88436,3024.0163,31,741.57313
1,91.667316,1936.2793,46,935.36296
5,113.80904,2956.585,53,812.94236
5,129.84263,3247.6746,58,879.84636
2,114.83382,2032.3121,52,789.6511
5,104.62428,3069.5035,39,806.21044
4,94.809332,2325.8774,51,733.40525
5,110.97487,3421.621,54,1091.1773
4,143.10685,2914.1054,57,1090.281
2,99.968361,2135.1233,50,1061.0373
4,125.66503,2237.2602,43,713.74461
3,77.291685,1653.288,30,568.46626
5,104.77871,2867.0028,20,605.44682
3,75.042559,923.09366,25,751.7218
5,96.050439,2484.8592,16,465.13915
4,115.93252,2779.8677,39,720.30954
1,84.800615,1604.6436,29,697.66058
1,73.408342,505.09131,8,418.27033
5,62.84984,1874.7623,44,684.16132
2,97.205872,1479.9412,55,801.56968
1,82.898185,969.02712,33,595.38228
4,110.83093,2629.5978,54,972.81887
1,103.59415,1259.4331,10,423.48623
3,90.388199,1893.2009,52,873.09812
