Narcissism,Machiavellianism,Psychopathy
3,38,6
14,57,7
5,33,4
26,57,9
22,80,13
16,69,9
12,61,8
33,79,19
19,68,10
7,31,6
19,73,14
30,72,17
7,51,7
6,46,5
16,69,9
16,49,11
12,39,5
10,53,8
13,74,9
16,34,5
10,38,6
29,53,17
26,90,12
2,48,22
28,72,22
8,62,7
13,54,7
27,78,15
12,56,8
18,64,9
5,35,8
11,60,10
5,39,18
7,49,6
9,34,4
9,58,10
6,41,6
5,47,5
21,82,10
13,54,7
1,43,4
16,57,8
10,77,11
9,65,10
7,43,8
8,63,7
16,61,20
17,63,11
19,54,8
9,63,7
10,47,6
5,66,8
12,63,11
15,44,7
11,59,7
15,59,9
17,66,10
16,65,23
32,74,12
22,83,11
17,47,7
11,57,9
7,60,7
18,68,9
24,50,13
8,63,7
18,67,10
14,50,10
21,51,7
13,52,7
9,51,7
4,47,5
14,48,7
20,65,9
18,63,8
11,45,6
2,39,8
29,63,9
2,58,15
7,58,7
18,70,9
19,66,9
4,66,7
7,42,5
9,46,6
4,50,6
12,65,8
13,43,6
9,46,6
14,74,9
5,67,7
3,45,6
10,62,8
16,68,9
17,63,9
21,75,12
11,48,6
14,42,8
2,36,4
15,74,9
7,15,2
18,73,10
16,53,7
18,63,10
4,40,5
11,53,22
5,51,6
21,58,26
12,50,6
21,62,11
14,56,7
6,58,7
4,38,4
23,65,9
15,42,6
16,54,7
13,65,8
22,54,8
8,81,11
6,56,9
7,41,6
10,67,13
15,56,16
10,35,5
33,89,13
7,68,11
18,69,12
16,72,9
6,57,7
18,67,9
18,74,9
19,62,8
20,63,10
25,63,10
14,70,8
12,66,8
19,67,9
14,68,9
16,76,11
23,64,9
16,58,9
9,49,6
16,60,8
10,68,8
15,43,6
1,47,5
11,64,8
5,70,8
20,71,15
0,58,6
12,72,8
30,80,15
8,44,7
23,75,15
14,62,8
15,44,6
10,37,5
1,61,7
8,51,11
25,71,15
20,59,8
11,26,7
16,70,9
15,48,6
12,59,12
18,69,9
3,59,8
16,73,9
17,79,13
20,65,9
21,55,8
22,62,11
3,43,5
4,36,4
29,74,11
11,57,10
11,35,5
25,50,8
8,58,8
7,40,19
13,52,9
25,62,10
11,64,8
13,86,10
18,59,12
19,65,9
18,67,12
7,57,6
6,48,16
5,57,7
2,54,6
2,27,3
14,59,7
22,74,10
18,63,9
11,53,6
13,53,9
15,53,7
8,41,5
16,54,9
24,78,11
6,43,5
2,58,6
3,49,12
18,69,9
13,54,7
31,63,21
16,45,6
7,46,5
12,64,8
10,41,6
22,80,10
9,62,13
14,51,11
17,55,7
5,68,8
13,51,7
24,74,10
17,77,11
2,36,7
10,40,5
18,50,8
18,52,11
20,71,16
6,54,6
19,65,13
19,57,8
14,65,14
4,46,5
7,65,7
4,67,8
28,90,31
5,53,8
6,41,7
20,76,10
12,47,6
4,51,6
8,52,7
15,61,18
10,63,7
4,76,9
24,58,14
7,42,16
12,42,11
24,87,11
13,46,6
6,59,7
19,61,8
20,63,13
6,44,6
21,56,8
6,31,4
7,48,6
21,77,10
20,70,24
12,62,8
22,55,8
9,34,5
15,49,7
11,61,11
9,55,6
9,61,8
4,66,9
20,80,10
18,75,10
22,68,10
3,62,7
11,56,7
19,83,13
3,49,5
9,55,7
13,61,9
7,40,9
5,41,15
5,49,6
23,73,18
12,60,9
3,63,7
20,47,7
22,67,9
11,54,7
14,85,12
21,71,11
18,46,6
19,78,15
15,60,8
8,58,7
8,58,7
13,57,7
8,31,5
4,53,6
11,61,7
3,47,5
10,63,7
7,48,12
11,66,16
10,47,6
29,74,11
11,72,9
13,67,8
18,55,7
14,50,8
13,79,9
13,72,9
14,61,10
17,67,13
4,48,5
3,51,5
19,68,9
11,78,11
7,32,4
7,64,11
26,99,13
9,61,7
13,61,7
14,61,8
15,60,8
36,80,33
20,52,9
19,46,7
7,49,6
6,37,5
13,61,7
18,67,9
3,38,4
15,51,7
9,55,13
15,69,9
30,77,11
12,82,11
12,52,7
26,61,19
7,40,5
12,65,15
15,45,9
13,46,6
14,65,8
22,67,9
16,53,9
8,75,9
7,53,7
16,54,10
11,51,6
9,71,8
14,57,8
9,65,7
7,69,8
12,44,6
21,66,9
6,41,6
10,43,11
5,58,8
15,63,8
12,63,8
7,62,19
7,38,5
20,79,10
13,56,16
12,57,11
10,47,6
15,60,8
10,46,6
22,52,8
6,66,9
4,54,6
8,42,6
22,67,9
9,64,7
25,50,8
20,54,7
20,67,9
14,45,6
21,57,8
18,55,11
13,47,12
14,63,8
18,74,9
11,75,10
11,49,7
28,61,10
14,76,10
28,74,11
12,71,10
5,45,5
4,45,5
6,50,9
7,38,5
28,80,13
3,35,5
12,32,4
9,57,7
7,69,8
1,45,5
7,44,8
9,68,9
28,70,12
22,65,36
22,70,10
